trial_id,frame_id,event_type,unix_time,unity_time,object_label,expected_class_id,expected_class_name,yolo_available,detected_class_id,detected_class_name,confidence,class_match,roi_source,anchor_label,n_raw,n_filtered,voxel_size_m,pose_mode,shape,stability,center_cam_x,center_cam_y,center_cam_z,center_world_x,center_world_y,center_world_z,right_x,right_y,right_z,up_x,up_y,up_z,fwd_x,fwd_y,fwd_z,extent_x,extent_y,extent_z,geo_conf,orient_conf,track_conf,overall_conf,t_detect_ms,t_cloud_ms,t_pose_ms,t_export_ms,t_e2e_ms,replacement_enabled,model_name,ply_path,success,fail_reason
laptop_20260821_131015,1,realtime,1787289015.252,131.948,laptop,63,laptop,1,63,laptop,0.940,1,YOLO ROI,mask center flat,17090,3027,0.0100,SurfaceObject,Elongated,Stable,0.0081,0.0058,0.7441,-0.0355,-0.1603,0.6083,-0.9998,0.0183,0.0000,0.0171,0.9328,-0.3599,-0.0066,-0.3598,-0.9330,1.1267,0.6566,0.5603,1.000,1.000,0.902,0.956,11.72,17.85,0.42,0.00,18.46,1,电脑 (real),,1,
laptop_20260821_131015,2,realtime,1787289015.775,132.448,laptop,63,laptop,1,63,laptop,0.940,1,YOLO ROI,mask center flat,16781,3014,0.0100,SurfaceObject,Elongated,Stable,0.0088,0.0033,0.7399,-0.0368,-0.1614,0.6034,-0.9999,0.0167,0.0000,0.0155,0.9329,-0.3599,-0.0060,-0.3599,-0.9330,1.1216,0.6721,0.5557,1.000,1.000,0.962,0.983,17.53,24.43,0.65,0.00,25.27,1,电脑 (real),,1,
laptop_20260821_131015,3,realtime,1787289016.261,132.948,laptop,63,laptop,1,63,laptop,0.921,1,YOLO ROI,mask center flat,17036,3093,0.0100,SurfaceObject,Elongated,Stable,0.0086,0.0062,0.7449,-0.0360,-0.1622,0.6086,-0.9999,0.0172,0.0000,0.0160,0.9321,-0.3620,-0.0062,-0.3619,-0.9322,1.1129,0.6723,0.5713,1.000,1.000,0.844,0.930,15.15,22.96,0.61,0.00,23.93,1,电脑 (real),,1,
laptop_20260821_131015,4,realtime,1787289016.764,133.448,laptop,63,laptop,1,63,laptop,0.922,1,YOLO ROI,mask center flat,17045,3000,0.0100,SurfaceObject,Elongated,Stable,0.0087,0.0056,0.7473,-0.0357,-0.1626,0.6107,-0.9999,0.0173,0.0000,0.0161,0.9325,-0.3609,-0.0062,-0.3609,-0.9326,1.1215,0.6582,0.5660,1.000,1.000,0.929,0.968,16.54,24.38,0.50,0.00,24.99,1,电脑 (real),,1,
laptop_20260821_131015,5,realtime,1787289017.262,133.949,laptop,63,laptop,1,63,laptop,0.936,1,YOLO ROI,mask center flat,16998,3072,0.0100,SurfaceObject,Elongated,Stable,0.0082,0.0072,0.7543,-0.0358,-0.1632,0.6173,-0.9998,0.0178,0.0000,0.0166,0.9327,-0.3604,-0.0064,-0.3603,-0.9328,1.1187,0.6715,0.5762,1.000,1.000,0.952,0.978,15.04,23.32,0.53,0.00,24.10,1,电脑 (real),,1,
laptop_20260821_131015,6,realtime,1787289017.764,134.449,laptop,63,laptop,1,63,laptop,0.938,1,YOLO ROI,mask center flat,16761,3061,0.0100,SurfaceObject,Elongated,Stable,0.0087,0.0056,0.7462,-0.0352,-0.1631,0.6088,-0.9998,0.0190,0.0000,0.0177,0.9320,-0.3620,-0.0069,-0.3619,-0.9322,1.1024,0.6724,0.5761,1.000,1.000,0.869,0.941,16.09,24.04,0.59,0.00,24.75,1,电脑 (real),,1,
laptop_20260821_131015,7,realtime,1787289018.268,134.949,laptop,63,laptop,1,63,laptop,0.905,1,YOLO ROI,mask center flat,18019,3615,0.0100,SurfaceObject,Elongated,Stable,0.0101,0.0204,0.7424,-0.0359,-0.1622,0.6098,-0.9999,0.0138,0.0000,0.0128,0.9255,-0.3785,-0.0052,-0.3784,-0.9256,1.1163,0.6810,0.5800,1.000,1.000,0.499,0.775,16.17,28.05,0.78,0.00,29.07,1,电脑 (real),,1,
laptop_20260821_131015,8,capture,1787289018.595,135.266,laptop,63,laptop,1,63,laptop,0.905,1,YOLO ROI,mask center flat,18090,3618,0.0100,SurfaceObject,Elongated,Stable,0.0105,0.0209,0.7400,-0.0382,-0.1617,0.6085,-0.9999,0.0126,0.0000,0.0116,0.9254,-0.3789,-0.0048,-0.3788,-0.9255,1.1225,0.6906,0.5768,1.000,1.000,0.663,0.848,16.17,0.00,0.00,19.80,52.60,1,电脑 (real),/var/mobile/Containers/Data/Application/3E0B7BD6-BD3D-428C-B868-39476BCA6048/Documents/PointCloud/pointcloud_20260821_131018.ply,1,
laptop_20260821_131015,9,realtime,1787289018.769,135.465,laptop,63,laptop,1,63,laptop,0.925,1,YOLO ROI,mask center flat,17109,3350,0.0100,SurfaceObject,Elongated,Stable,0.0114,0.0173,0.7375,-0.0367,-0.1614,0.6048,-0.9999,0.0137,0.0000,0.0127,0.9264,-0.3762,-0.0052,-0.3762,-0.9265,1.1091,0.6854,0.5691,1.000,1.000,0.833,0.925,10.87,18.91,0.56,0.00,19.66,1,电脑 (real),,1,
laptop_20260821_131015,10,realtime,1787289019.291,135.965,laptop,63,laptop,1,63,laptop,0.912,1,YOLO ROI,mask center flat,17391,3398,0.0100,SurfaceObject,Elongated,Stable,0.0099,0.0167,0.7317,-0.0367,-0.1612,0.5982,-0.9999,0.0155,0.0000,0.0144,0.9258,-0.3778,-0.0059,-0.3778,-0.9259,1.1207,0.6809,0.5755,1.000,1.000,0.923,0.965,15.40,25.62,0.48,0.00,26.31,1,电脑 (real),,1,
laptop_20260821_131015,11,realtime,1787289019.787,136.465,laptop,63,laptop,1,63,laptop,0.910,1,YOLO ROI,mask center flat,17482,3437,0.0100,SurfaceObject,Elongated,Stable,0.0097,0.0175,0.7328,-0.0359,-0.1612,0.5985,-0.9999,0.0155,0.0000,0.0143,0.9257,-0.3779,-0.0059,-0.3778,-0.9259,1.1117,0.6758,0.5749,1.000,1.000,0.853,0.934,17.56,28.98,0.63,0.00,29.74,1,电脑 (real),,1,
laptop_20260821_131015,12,capture,1787289020.277,136.949,laptop,63,laptop,1,63,laptop,0.910,1,YOLO ROI,mask center flat,17532,3421,0.0100,SurfaceObject,Elongated,Stable,0.0084,0.0180,0.7272,-0.0382,-0.1609,0.5917,-0.9999,0.0171,0.0000,0.0158,0.9248,-0.3800,-0.0065,-0.3800,-0.9250,1.0896,0.6831,0.5677,1.000,1.000,0.863,0.938,17.56,0.00,0.00,19.56,51.34,1,电脑 (real),/var/mobile/Containers/Data/Application/3E0B7BD6-BD3D-428C-B868-39476BCA6048/Documents/PointCloud/pointcloud_20260821_131020.ply,1,
laptop_20260821_131015,13,realtime,1787289020.303,137.005,laptop,63,laptop,1,63,laptop,0.897,1,YOLO ROI,mask center flat,17255,3322,0.0100,SurfaceObject,Elongated,Stable,0.0106,0.0261,0.7486,-0.0368,-0.1609,0.6148,-0.9999,0.0165,0.0000,0.0152,0.9252,-0.3791,-0.0062,-0.3791,-0.9253,1.0805,0.6764,0.5718,1.000,1.000,0.872,0.942,8.39,14.36,0.47,0.00,15.02,1,电脑 (real),,1,
laptop_20260821_131015,14,realtime,1787289020.829,137.516,laptop,63,laptop,1,63,laptop,0.902,1,YOLO ROI,mask center flat,17056,3307,0.0100,SurfaceObject,Elongated,Stable,0.0096,0.0200,0.7327,-0.0371,-0.1598,0.5978,-0.9999,0.0138,0.0000,0.0127,0.9255,-0.3785,-0.0052,-0.3784,-0.9256,1.0838,0.6781,0.5632,1.000,1.000,0.852,0.933,14.19,24.23,0.66,0.00,25.49,1,电脑 (real),,1,
laptop_20260821_131015,15,capture,1787289021.218,137.899,laptop,63,laptop,1,63,laptop,0.902,1,YOLO ROI,mask center flat,17114,3269,0.0100,SurfaceObject,Elongated,Stable,0.0091,0.0202,0.7270,-0.0374,-0.1596,0.5925,-0.9999,0.0138,0.0000,0.0128,0.9246,-0.3807,-0.0053,-0.3806,-0.9247,1.0842,0.6767,0.5734,1.000,1.000,0.914,0.961,14.19,0.00,0.00,16.51,42.68,1,电脑 (real),/var/mobile/Containers/Data/Application/3E0B7BD6-BD3D-428C-B868-39476BCA6048/Documents/PointCloud/pointcloud_20260821_131021.ply,1,
laptop_20260821_131015,16,realtime,1787289021.314,138.016,laptop,63,laptop,1,63,laptop,0.905,1,YOLO ROI,mask center flat,17006,3320,0.0100,SurfaceObject,Elongated,Stable,0.0092,0.0206,0.7311,-0.0373,-0.1594,0.5961,-0.9999,0.0133,0.0000,0.0123,0.9253,-0.3791,-0.0051,-0.3791,-0.9254,1.0942,0.6794,0.5705,1.000,1.000,0.974,0.988,8.12,16.42,0.38,0.00,17.19,1,电脑 (real),,1,
laptop_20260821_131015,17,realtime,1787289021.845,138.516,laptop,63,laptop,1,63,laptop,0.907,1,YOLO ROI,mask center flat,17235,3460,0.0100,SurfaceObject,Elongated,Stable,0.0095,0.0244,0.7424,-0.0370,-0.1587,0.6080,-0.9999,0.0138,0.0000,0.0128,0.9259,-0.3775,-0.0052,-0.3775,-0.9260,1.0947,0.6808,0.5712,1.000,1.000,0.940,0.973,16.82,28.35,0.55,0.00,29.02,1,电脑 (real),,1,
laptop_20260821_131015,18,realtime,1787289022.327,139.016,laptop,63,laptop,1,63,laptop,0.904,1,YOLO ROI,mask center flat,16834,3292,0.0100,SurfaceObject,Elongated,Stable,0.0096,0.0167,0.7267,-0.0368,-0.1596,0.5902,-0.9999,0.0139,0.0000,0.0129,0.9260,-0.3773,-0.0052,-0.3772,-0.9261,1.0803,0.6788,0.5709,1.000,1.000,0.876,0.944,11.84,24.18,0.62,0.00,25.20,1,电脑 (real),,1,
laptop_20260821_131015,19,realtime,1787289022.830,139.516,laptop,63,laptop,1,63,laptop,0.915,1,YOLO ROI,mask center flat,16765,3276,0.0100,SurfaceObject,Elongated,Stable,0.0106,0.0198,0.7344,-0.0370,-0.1597,0.5982,-0.9999,0.0143,0.0000,0.0132,0.9261,-0.3771,-0.0054,-0.3771,-0.9262,1.0777,0.6863,0.5685,1.000,1.000,0.964,0.984,12.87,25.17,0.57,0.00,25.89,1,电脑 (real),,1,
laptop_20260821_131015,20,capture,1787289022.892,139.583,laptop,63,laptop,1,63,laptop,0.915,1,YOLO ROI,mask center flat,16758,3289,0.0100,SurfaceObject,Elongated,Stable,0.0090,0.0199,0.7296,-0.0368,-0.1597,0.5936,-0.9999,0.0151,0.0000,0.0139,0.9251,-0.3794,-0.0057,-0.3793,-0.9252,1.0808,0.6750,0.5716,1.000,1.000,0.981,0.992,12.87,0.00,0.00,16.29,34.99,1,电脑 (real),/var/mobile/Containers/Data/Application/3E0B7BD6-BD3D-428C-B868-39476BCA6048/Documents/PointCloud/pointcloud_20260821_131022.ply,1,
laptop_20260821_131015,21,realtime,1787289023.333,140.016,laptop,63,laptop,1,63,laptop,0.898,1,YOLO ROI,mask center flat,16953,3297,0.0100,SurfaceObject,Elongated,Stable,0.0093,0.0259,0.7402,-0.0374,-0.1592,0.6052,-0.9999,0.0148,0.0000,0.0137,0.9246,-0.3807,-0.0056,-0.3807,-0.9247,1.0910,0.6824,0.5714,1.000,1.000,0.964,0.984,16.25,25.38,0.55,0.00,26.18,1,电脑 (real),,1,
laptop_20260821_131015,22,realtime,1787289023.832,140.516,laptop,63,laptop,1,63,laptop,0.911,1,YOLO ROI,mask center flat,16792,3225,0.0100,SurfaceObject,Elongated,Stable,0.0082,0.0226,0.7372,-0.0380,-0.1600,0.6009,-0.9999,0.0155,0.0000,0.0143,0.9251,-0.3795,-0.0059,-0.3795,-0.9252,1.0921,0.6801,0.5643,1.000,1.000,0.921,0.964,15.65,25.03,0.56,0.00,25.74,1,电脑 (real),,1,
laptop_20260821_131015,23,realtime,1787289024.334,141.016,laptop,63,laptop,1,63,laptop,0.909,1,YOLO ROI,mask center flat,16586,3186,0.0100,SurfaceObject,Elongated,Stable,0.0085,0.0239,0.7439,-0.0374,-0.1608,0.6079,-0.9999,0.0152,0.0000,0.0140,0.9255,-0.3785,-0.0057,-0.3785,-0.9256,1.0811,0.6762,0.5663,1.000,1.000,0.847,0.931,15.45,25.52,0.54,0.00,26.30,1,电脑 (real),,1,
laptop_20260821_131015,24,realtime,1787289024.832,141.516,laptop,63,laptop,1,63,laptop,0.897,1,YOLO ROI,mask center flat,16537,3211,0.0100,SurfaceObject,Elongated,Stable,0.0092,0.0226,0.7425,-0.0371,-0.1613,0.6061,-0.9999,0.0149,0.0000,0.0138,0.9254,-0.3787,-0.0056,-0.3786,-0.9255,1.0852,0.6784,0.5633,1.000,1.000,0.953,0.979,14.29,26.41,0.60,0.00,27.15,1,电脑 (real),,1,
laptop_20260821_131015,25,capture,1787289025.043,141.733,laptop,63,laptop,1,63,laptop,0.897,1,YOLO ROI,mask center flat,16444,3177,0.0100,SurfaceObject,Elongated,Stable,0.0090,0.0223,0.7386,-0.0378,-0.1614,0.6025,-0.9999,0.0145,0.0000,0.0134,0.9249,-0.3799,-0.0055,-0.3799,-0.9250,1.0805,0.6843,0.5724,1.000,1.000,0.970,0.987,14.29,0.00,0.00,15.04,35.49,1,电脑 (real),/var/mobile/Containers/Data/Application/3E0B7BD6-BD3D-428C-B868-39476BCA6048/Documents/PointCloud/pointcloud_20260821_131025.ply,1,
laptop_20260821_131015,26,realtime,1787289025.318,142.016,laptop,63,laptop,1,63,laptop,0.916,1,YOLO ROI,mask center flat,16404,3170,0.0100,SurfaceObject,Elongated,Stable,0.0089,0.0203,0.7370,-0.0375,-0.1614,0.6001,-0.9999,0.0145,0.0000,0.0135,0.9255,-0.3785,-0.0055,-0.3785,-0.9256,1.0835,0.6771,0.5679,1.000,1.000,0.952,0.978,9.66,17.81,0.43,0.00,18.47,1,电脑 (real),,1,
laptop_20260821_131015,27,realtime,1787289025.837,142.516,laptop,63,laptop,1,63,laptop,0.923,1,YOLO ROI,mask center flat,16487,3169,0.0100,SurfaceObject,Elongated,Stable,0.0078,0.0211,0.7398,-0.0373,-0.1615,0.6029,-0.9999,0.0152,0.0000,0.0141,0.9255,-0.3786,-0.0058,-0.3785,-0.9256,1.0806,0.6810,0.5621,1.000,1.000,0.929,0.968,12.32,24.86,0.51,0.00,25.49,1,电脑 (real),,1,
