trial_id,frame_id,event_type,unix_time,unity_time,object_label,expected_class_id,expected_class_name,yolo_available,detected_class_id,detected_class_name,confidence,class_match,roi_source,anchor_label,n_raw,n_filtered,voxel_size_m,pose_mode,shape,stability,center_cam_x,center_cam_y,center_cam_z,center_world_x,center_world_y,center_world_z,right_x,right_y,right_z,up_x,up_y,up_z,fwd_x,fwd_y,fwd_z,extent_x,extent_y,extent_z,geo_conf,orient_conf,track_conf,overall_conf,t_detect_ms,t_cloud_ms,t_pose_ms,t_export_ms,t_e2e_ms,replacement_enabled,model_name,ply_path,success,fail_reason
phone_20260821_130948,1,realtime,1787288988.976,105.667,phone,67,cell phone,1,67,cell phone,0.559,1,YOLO ROI,mask bottom upright,3009,269,0.0100,SurfaceObject,Elongated,Stable,0.0050,-0.0613,0.4102,0.0379,-0.1648,0.3218,-0.9997,0.0224,0.0000,0.0205,0.9137,-0.4060,-0.0091,-0.4059,-0.9139,0.3113,0.1576,0.1248,1.000,1.000,0.947,0.976,17.84,7.74,0.23,0.00,8.24,1,手持电话 (scene),,1,
phone_20260821_130948,2,realtime,1787288989.485,106.179,phone,67,cell phone,1,67,cell phone,0.615,1,YOLO ROI,mask bottom upright,3070,290,0.0100,SurfaceObject,Elongated,Stable,0.0048,-0.0616,0.4100,0.0377,-0.1648,0.3216,-0.9997,0.0231,0.0000,0.0211,0.9136,-0.4060,-0.0094,-0.4059,-0.9139,0.3155,0.1645,0.1240,1.000,1.000,0.950,0.977,24.26,5.62,0.34,0.00,6.28,1,手持电话 (scene),,1,
phone_20260821_130948,3,realtime,1787288989.991,106.696,phone,67,cell phone,1,67,cell phone,0.478,1,YOLO ROI,mask bottom upright,2967,258,0.0100,SurfaceObject,Elongated,Stable,0.0055,-0.0609,0.4063,0.0383,-0.1647,0.3189,-0.9998,0.0205,0.0000,0.0187,0.9125,-0.4087,-0.0084,-0.4086,-0.9127,0.3094,0.1488,0.1188,1.000,1.000,0.415,0.737,13.66,7.24,0.20,0.00,7.71,1,手持电话 (scene),,1,
phone_20260821_130948,4,capture,1787288990.089,106.796,phone,67,cell phone,1,67,cell phone,0.478,1,YOLO ROI,mask bottom upright,2932,254,0.0100,SurfaceObject,Elongated,Stable,0.0057,-0.0605,0.4069,0.0379,-0.1647,0.3196,-0.9998,0.0200,0.0000,0.0182,0.9124,-0.4088,-0.0082,-0.4087,-0.9126,0.2657,0.1387,0.1001,1.000,1.000,0.591,0.816,13.66,0.00,0.00,9.81,16.96,1,手持电话 (scene),/var/mobile/Containers/Data/Application/3E0B7BD6-BD3D-428C-B868-39476BCA6048/Documents/PointCloud/pointcloud_20260821_130950.ply,1,
phone_20260821_130948,5,realtime,1787288990.505,107.197,phone,67,cell phone,1,67,cell phone,0.538,1,YOLO ROI,mask bottom upright,2901,248,0.0100,SurfaceObject,Elongated,Stable,0.0052,-0.0612,0.4078,0.0369,-0.1647,0.3203,-0.9998,0.0203,0.0000,0.0185,0.9129,-0.4078,-0.0083,-0.4077,-0.9131,0.2807,0.1658,0.1120,1.000,1.000,0.659,0.846,16.16,5.70,0.47,0.00,6.37,1,手持电话 (scene),,1,
phone_20260821_130948,6,realtime,1787288991.025,107.713,phone,67,cell phone,1,67,cell phone,0.460,1,YOLO ROI,mask bottom upright,2954,250,0.0100,SurfaceObject,Elongated,Stable,0.0058,-0.0605,0.4066,0.0381,-0.1647,0.3189,-0.9998,0.0206,0.0000,0.0188,0.9118,-0.4102,-0.0085,-0.4101,-0.9120,0.2762,0.1320,0.1039,1.000,1.000,0.805,0.912,17.02,7.41,0.16,0.00,7.82,1,手持电话 (scene),,1,
phone_20260821_130948,7,realtime,1787288991.525,108.229,phone,67,cell phone,1,67,cell phone,0.409,1,YOLO ROI,mask center flat,3064,264,0.0100,SurfaceObject,Elongated,Stable,0.0079,0.0441,0.6380,0.0460,-0.1646,0.5727,-0.9998,0.0209,0.0000,0.0191,0.9115,-0.4109,-0.0086,-0.4109,-0.9117,0.3134,0.1502,0.1179,1.000,1.000,0.430,0.743,17.08,4.82,0.15,0.00,5.07,1,手持电话 (scene),,1,
phone_20260821_130948,8,realtime,1787288992.022,108.729,phone,67,cell phone,1,67,cell phone,0.381,1,YOLO ROI,mask bottom upright,3133,270,0.0100,SurfaceObject,Elongated,Stable,0.0072,-0.0605,0.4054,0.0388,-0.1645,0.3178,-0.9998,0.0216,0.0000,0.0197,0.9113,-0.4112,-0.0089,-0.4111,-0.9115,0.3142,0.1523,0.1175,1.000,1.000,0.559,0.801,11.60,5.04,0.92,0.00,6.26,1,手持电话 (scene),,1,
phone_20260821_130948,9,realtime,1787288992.525,109.230,phone,67,cell phone,1,67,cell phone,0.285,1,YOLO ROI,mask center flat,3055,269,0.0100,SurfaceObject,Elongated,Stable,0.0078,0.0463,0.6416,0.0450,-0.1645,0.5770,-0.9998,0.0210,0.0000,0.0192,0.9113,-0.4114,-0.0087,-0.4113,-0.9115,0.3214,0.1598,0.1148,1.000,1.000,0.458,0.756,15.63,5.02,0.16,0.00,5.29,1,手持电话 (scene),,1,
phone_20260821_130948,10,realtime,1787288993.025,109.730,phone,67,cell phone,1,67,cell phone,0.339,1,YOLO ROI,mask center flat,3051,264,0.0100,SurfaceObject,Elongated,Stable,0.0077,0.0444,0.6380,0.0443,-0.1645,0.5729,-0.9998,0.0218,0.0000,0.0199,0.9114,-0.4111,-0.0090,-0.4110,-0.9116,0.3205,0.1545,0.1163,1.000,1.000,0.642,0.839,12.86,7.71,0.18,0.00,8.18,1,手持电话 (scene),,1,
